Wall time,Step,Value
1769351890.1717832,10,1.0714843273162842
1769351916.8738852,20,1.4171874523162842
1769351941.9198906,30,1.128320336341858
1769351967.2116854,40,1.0031249523162842
1769351991.6253211,50,0.8919922113418579
1769352022.8858178,60,1.029882788658142
1769352050.9716585,70,0.886523425579071
1769352078.202813,80,0.9691406488418579
1769352104.9968529,90,0.8970702886581421
1769352130.4400308,100,0.8916015625
1769352162.6049714,110,0.941210925579071
1769352192.096157,120,0.9228515625
1769352219.9001722,130,0.9654296636581421
1769352246.356386,140,0.8999999761581421
1769352271.323657,150,0.861523449420929
1769352304.2564056,160,0.9712890386581421
1769352333.1864965,170,0.991992175579071
1769352359.930554,180,0.943554699420929
1769352386.2863781,190,0.947070300579071
1769352412.0065186,200,0.914843738079071
1769353125.5941813,210,0.9029296636581421
1769353153.746937,220,0.9449218511581421
1769353180.422983,230,0.8466796875
1769353206.7360694,240,0.880859375
1769353231.9091282,250,0.936718761920929
1769353262.8639865,260,0.8785156011581421
1769353290.835388,270,0.8587890863418579
1769353317.340934,280,0.806640625
1769353343.5014288,290,0.848828136920929
1769353368.6809342,300,0.906054675579071
1769353399.5207238,310,0.8900390863418579
1769353427.197045,320,0.8912109136581421
1769353453.7156353,330,0.850781261920929
1769353479.8945258,340,0.9013671875
1769353503.580729,350,0.860546886920929
1769353535.3973808,360,0.9281250238418579
1769353564.2569609,370,0.9671875238418579
1769353590.7717588,380,0.898242175579071
1769353616.9166644,390,0.8060547113418579
1769353641.6789336,400,0.929492175579071
1769354355.9258616,410,0.905468761920929
1769354384.0007324,420,0.9443359375
1769354410.6344411,430,0.833984375
1769354436.9193974,440,0.8792968988418579
1769354460.9355533,450,0.886523425579071
1769354492.906749,460,0.9019531011581421
1769354521.504372,470,0.8935546875
1769354547.937374,480,0.766796886920929
1769354574.107056,490,0.826953113079071
1769354598.9393003,500,0.8199218511581421
1769354631.2365143,510,0.8984375
1769354659.3682578,520,0.897265613079071
1769354686.0270689,530,0.8980468511581421
1769354712.3189263,540,0.839648425579071
1769354737.4176705,550,0.7802734375
1769354768.778422,560,0.823437511920929
1769354796.3016963,570,0.998828113079071
1769354822.7969403,580,0.775390625
1769354848.994746,590,0.7886718511581421
1769354873.877724,600,0.8603515625
1769355601.670716,610,0.912304699420929
1769355631.5816815,620,0.889843761920929
1769355659.095601,630,0.8011718988418579
1769355686.2601829,640,0.7998046875
1769355711.5872188,650,0.778515636920929
